Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
azure-ceramic-vase,Azure Ceramic Vase,"<p>A minimalist ceramic vase with a deep blue glazed finish. Designed for shelves, dining tables, and modern living spaces.</p><ul><li>Hand-finished ceramic look</li><li>Minimalist silhouette</li><li>Ideal for flowers or standalone decor</li></ul>",Studio Home,Home & Garden,Decor,"ceramic, vase, home decor, minimalist, blue",True,Title,Default Title,,,,,AZURE-CERAMIC-VASE-001,900,shopify,42,deny,manual,29.9,39.9,True,True,,https://images.unsplash.com/photo-1526198049595-f32cde2a219d?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Azure blue ceramic vase on white background,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
golden-arc-desk-lamp,Golden Arc Desk Lamp,"<p>A warm metallic desk lamp that adds focused lighting and a refined accent to a workspace, reading corner, or bedside table.</p><ul><li>Adjustable lamp arm</li><li>Warm metallic finish</li><li>Designed for desks and side tables</li></ul>",Modern Glow,Home & Garden,Lighting,"desk lamp, lighting, office, gold, home decor",True,Title,Default Title,,,,,GOLDEN-ARC-DESK-LAMP-001,1800,shopify,28,deny,manual,54.0,69.0,True,True,,https://images.unsplash.com/flagged/photo-1567923982198-78ebecdcf4cc?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Gold desk lamp on wooden table,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
woven-tassel-cushion,Woven Tassel Cushion,"<p>A textured decorative cushion with woven detailing and tassel corners, made to bring a relaxed look to sofas, chairs, and beds.</p><ul><li>Textured woven surface</li><li>Decorative tassel corners</li><li>Works with modern and neutral interiors</li></ul>",Loom & Living,Home & Garden,Home Decor,"cushion, pillow, woven, tassel, living room",True,Title,Default Title,,,,,WOVEN-TASSEL-CUSHION-001,650,shopify,65,deny,manual,24.5,32.0,True,True,,https://images.unsplash.com/photo-1618941026766-87a1bd06ef26?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Woven textured throw cushion with tassels,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
matte-black-floor-lamp,Matte Black Floor Lamp,"<p>A slim black floor lamp that adds ambient light and a clean vertical accent to living rooms, reading corners, and bedrooms.</p><ul><li>Slim black finish</li><li>Stands neatly in a corner or beside a sofa</li><li>Designed for ambient room lighting</li></ul>",Modern Glow,Home & Garden,Lighting,"floor lamp, lighting, black, living room, home decor",True,Title,Default Title,,,,,MATTE-BLACK-FLOOR-LAMP-001,4200,shopify,22,deny,manual,89.0,119.0,True,True,,https://images.unsplash.com/photo-1494438639946-1ebd1d20bf85?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Black floor lamp standing in the corner of a room,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
noir-hanging-pendant-light,Noir Hanging Pendant Light,"<p>A black pendant light that hangs from the ceiling to bring warm, focused light over dining tables, kitchen islands, and entryways.</p><ul><li>Ceiling-hung pendant design</li><li>Black finish that suits modern interiors</li><li>Designed for dining and living areas</li></ul>",Modern Glow,Home & Garden,Lighting,"pendant light, ceiling light, lighting, black, home decor",True,Title,Default Title,,,,,NOIR-HANGING-PENDANT-LIGHT-001,1500,shopify,34,deny,manual,64.0,82.0,True,True,,https://images.unsplash.com/photo-1614743559948-d158e36ecb4f?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Black pendant lamp turned on in a room,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
evening-glow-string-lights,Evening Glow String Lights,"<p>Decorative string lights that add a soft ambient glow to bedrooms, shelves, windows, and cozy corners.</p><ul><li>Flexible light string for easy styling</li><li>Soft ambient glow</li><li>Suitable for shelves, walls, and windows</li></ul>",Lumen & Co.,Home & Garden,Lighting,"string lights, fairy lights, lighting, bedroom, home decor",True,Title,Default Title,,,,,EVENING-GLOW-STRING-LIGHTS-001,350,shopify,120,deny,manual,16.5,22.0,True,True,,https://images.unsplash.com/photo-1631878047942-6a0956f23c98?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Close-up of a string of lights,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
gilded-frame-wall-mirror,Gilded Frame Wall Mirror,"<p>A wall mirror with a gold frame that brightens entryways, bedrooms, and living rooms while adding a refined accent to the wall.</p><ul><li>Gold-tone frame</li><li>Wall-mounted design</li><li>Works in entryways, bedrooms, and living rooms</li></ul>",Gilded Home,Home & Garden,Decor,"wall mirror, mirror, gold, entryway, home decor",True,Title,Default Title,,,,,GILDED-FRAME-WALL-MIRROR-001,3800,shopify,17,deny,manual,78.0,98.0,True,True,,https://images.unsplash.com/photo-1609811692040-35b06faddb8d?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Gold framed mirror hanging on a white wall,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
noir-candle-holder,Noir Candle Holder,"<p>A black candle holder that gives dining tables, shelves, and side tables a warm, intimate touch when lit.</p><ul><li>Black holder that pairs with white candles</li><li>Compact tabletop size</li><li>Ideal for dining tables and shelves</li></ul>",Ember & Oak,Home & Garden,Decor,"candle holder, candles, black, table decor, home decor",True,Title,Default Title,,,,,NOIR-CANDLE-HOLDER-001,700,shopify,60,deny,manual,21.0,28.0,True,True,,https://images.unsplash.com/photo-1603703467600-57e385ec81f7?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,White candles on a black candle holder,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
oakline-wall-clock,Oakline Wall Clock,"<p>A simple round wall clock with a warm wood frame and clean face, designed to complement bedrooms, offices, kitchens, and living rooms.</p><ul><li>Warm wood-look frame</li><li>Clean readable dial</li><li>Suitable for home and office spaces</li></ul>",Time & Timber,Home & Garden,Decor,"wall clock, wood, home decor, office, minimalist",True,Title,Default Title,,,,,OAKLINE-WALL-CLOCK-001,1200,shopify,36,deny,manual,41.0,52.0,True,True,,https://images.unsplash.com/photo-1714755725235-33448a5bae78?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Round wooden wall clock,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
alabaster-ceramic-planter,Alabaster Ceramic Planter,"<p>A white ceramic planter that brings greenery and a clean, bright accent to shelves, window sills, and living spaces.</p><ul><li>White ceramic finish</li><li>Simple silhouette that suits any interior</li><li>Great for indoor plants</li></ul>",Studio Home,Home & Garden,Decor,"planter, plant pot, ceramic, white, home decor",True,Title,Default Title,,,,,ALABASTER-CERAMIC-PLANTER-001,1300,shopify,48,deny,manual,26.0,34.0,True,True,,https://images.unsplash.com/photo-1618220179428-22790b461013?auto=format&fit=crop&fm=jpg&q=80&w=1600,1,Green plant in a white ceramic pot,False,,,,,,,new,,,,,,,,g,,,True,,,True,,,True,,,active
